image,class_id,similarity_individual,similarity_class,difference,individual_better
image_06734.jpg,1,0.07583,0.13924,-0.06341,False
image_06735.jpg,1,0.13279,0.14194,-0.00915,False
image_06736.jpg,1,0.14738,0.15889,-0.01151,False
image_06737.jpg,1,0.15877,0.14341,0.01536,True
image_06738.jpg,1,0.15615,0.15483,0.00132,True
image_06740.jpg,1,0.14205,0.15301,-0.01096,False
image_06741.jpg,1,0.15665,0.15504,0.00161,True
image_06742.jpg,1,0.16373,0.16427,-0.00054,False
image_06744.jpg,1,0.17497,0.12903,0.04594,True
image_06745.jpg,1,0.15554,0.14776,0.00778,True
image_06746.jpg,1,0.10802,0.13033,-0.0223,False
image_06747.jpg,1,0.12049,0.13915,-0.01866,False
image_06748.jpg,1,0.16381,0.15737,0.00644,True
image_06750.jpg,1,0.1711,0.15898,0.01212,True
image_06751.jpg,1,0.15716,0.14579,0.01137,True
image_06753.jpg,1,0.10311,0.10872,-0.00561,False
image_06757.jpg,1,0.11928,0.15046,-0.03117,False
image_06759.jpg,1,0.1588,0.15474,0.00406,True
image_06761.jpg,1,0.15647,0.15644,3e-05,True
image_06762.jpg,1,0.13023,0.14615,-0.01593,False
image_06766.jpg,1,0.17641,0.13737,0.03904,True
image_06767.jpg,1,0.16332,0.11447,0.04886,True
image_06768.jpg,1,0.11365,0.11366,-1e-05,False
image_06770.jpg,1,0.16171,0.13896,0.02275,True
image_06771.jpg,1,0.1078,0.12551,-0.01771,False
image_06772.jpg,1,0.11364,0.15263,-0.03899,False
image_06773.jpg,1,0.10927,0.13997,-0.03071,False
image_05087.jpg,2,0.13197,0.11356,0.01841,True
image_05088.jpg,2,0.13337,0.10353,0.02984,True
image_05089.jpg,2,0.14873,0.10737,0.04136,True
image_05090.jpg,2,0.1644,0.11075,0.05365,True
image_05091.jpg,2,0.15701,0.1109,0.0461,True
image_05092.jpg,2,0.11693,0.11984,-0.00291,False
image_05093.jpg,2,0.14498,0.1156,0.02938,True
image_05095.jpg,2,0.15788,0.10114,0.05674,True
image_05096.jpg,2,0.145,0.09777,0.04723,True
image_05097.jpg,2,0.12683,0.12033,0.00649,True
image_05098.jpg,2,0.16074,0.10968,0.05107,True
image_05099.jpg,2,0.176,0.12756,0.04844,True
image_05102.jpg,2,0.10407,0.10918,-0.00511,False
image_05103.jpg,2,0.12075,0.10248,0.01826,True
image_05104.jpg,2,0.10327,0.1201,-0.01683,False
image_05105.jpg,2,0.15958,0.10023,0.05935,True
image_05106.jpg,2,0.13946,0.09479,0.04467,True
image_05108.jpg,2,0.15903,0.11666,0.04238,True
image_05110.jpg,2,0.11321,0.07664,0.03657,True
image_05111.jpg,2,0.09481,0.06601,0.0288,True
image_05112.jpg,2,0.14835,0.08216,0.06619,True
image_05113.jpg,2,0.15272,0.09984,0.05288,True
image_05114.jpg,2,0.16631,0.0963,0.07001,True
image_05115.jpg,2,0.13476,0.10478,0.02998,True
image_05116.jpg,2,0.13125,0.09354,0.03771,True
image_05117.jpg,2,0.15996,0.11474,0.04522,True
image_05118.jpg,2,0.0936,0.07569,0.01791,True
image_05119.jpg,2,0.14293,0.08642,0.05651,True
image_05120.jpg,2,0.15507,0.12381,0.03126,True
image_05121.jpg,2,0.15082,0.07794,0.07289,True
